BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
LOAX,Loa,SA,35966,222377,6,208791,6,175545,5,179754,5,0,0,0.000000000000000,null,null,null,N/A,2,"Chile, Bolivia",0.000000000000000,0.000000000000000,26.492264434900001,0.000000000000000,0.000000000000000,0.000000000000000,161889.0000000,5
ADIG,Adige,EU,14478,1932938,134,2101036,145,1828231,126,1850105,128,8,0,0.000000000000000,null,null,null,N/A,2,"Italy, Switzerland",0.000000000000000,0.000000000000000,49.337452219900001,0.000000000000000,0.000000000000000,22.000000000000000,1963480.0000000,136
AKPA,Akpa,AF,2434,257944,106,256218,105,241906,99,268593,110,0,0,0.000000000000000,1880,10,0,3,2,"Cameroon, Nigeria",0.000000000000000,0.000000000000000,68.163172682600006,1.000000000000000,1.000000000000000,0.000000000000000,75413.0000000,31
ALKL,Alakol,AS,63501,720327,11,673494,11,601978,9,665060,10,1,0,0.000000000000000,null,null,null,N/A,2,"China, Kazakhstan",14.000000000000000,0.000000000000000,5122.208613460000379,0.000000000000000,0.000000000000000,10.000000000000000,701638.0000000,11
ALSK,Alsek,NA,28220,441,0,483,0,862,0,949,0,0,0,0.000000000000000,1210,0,0,1,2,"Canada, United States of America",2.000000000000000,2.000000000000000,858.650572946000011,0.000000000000000,0.000000000000000,0.000000000000000,959.0310059,0
AMCR,Amacuro,SA,3719,891,0,3373,1,14084,4,31521,8,0,0,0.000000000000000,930,0,0,3,2,"Guyana, Venezuela",0.000000000000000,0.000000000000000,1288.760231770000019,0.000000000000000,0.000000000000000,0.000000000000000,1368.5000000,0
AMUR,Amur,AS,2092690,72327981,35,71233435,34,63743174,30,63646840,30,6,0,29.000000000000000,170,26470,8390,3,4,"China, Dem People's Rep of Korea, Mongolia, Russian Federation",13.000000000000000,1.000000000000000,62651.949093000002904,43.000000000000000,47.000000000000000,131.000000000000000,67495904.0000000,32
AMZN,Amazon,SA,5952595,41637610,7,45614831,8,43884299,7,47383984,8,8,298,278.000000000000000,1110,10460,2740,4,7,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, Venezuela",7.000000000000000,1.000000000000000,385579.926985000027344,16.000000000000000,50.000000000000000,152.000000000000000,35847200.0000000,6
ANAK,An Nahr Al Kabir,AS,1032,229964,223,223464,217,247818,240,262991,255,0,0,0.000000000000000,650,500,240,2,2,"Lebanon, Syrian Arab Republic",2.000000000000000,0.000000000000000,3.683923726900000,0.000000000000000,0.000000000000000,1.000000000000000,262674.0000000,255
ANGE,Angerman,EU,32946,48670,1,40954,1,33059,1,31294,1,9,0,0.000000000000000,null,null,null,N/A,2,"Norway, Sweden",1.000000000000000,0.000000000000000,5609.822447950000424,0.000000000000000,0.000000000000000,32.000000000000000,58383.3007812,2
ANNL,Annole,AF,11219,71225,6,95440,9,165734,15,232836,21,0,0,0.000000000000000,null,null,null,N/A,2,"Kenya, Somalia",0.000000000000000,0.000000000000000,25.644781662200000,0.000000000000000,0.000000000000000,0.000000000000000,46468.1015625,4
ARAL,Aral Sea,AS,1218379,58175339,48,60031948,49,56230499,46,60757039,50,23,1,3.000000000000000,100,106650,55510,3,6,"Afghanistan, Kazakhstan, Kyrgyzstan, Turkmenistan, Uzbekistan, Tajikistan",39.000000000000000,4.000000000000000,22973.848370399999112,68.000000000000000,229.000000000000000,102.000000000000000,63428400.0000000,52
ASIX,Asi/Orontes,AS,23830,5667012,238,6726679,282,5354712,225,5946169,250,2,0,0.000000000000000,380,8420,3770,2,3,"Lebanon, Syrian Arab Republic, Turkey",5.000000000000000,0.000000000000000,98.082999265599994,20.000000000000000,24.000000000000000,13.000000000000000,5707760.0000000,240
ATBN,Artibonite,NA,8860,2103545,237,2288820,258,2073587,234,2098346,237,0,1,1.000000000000000,310,1060,370,4,2,"Dominican Republic, Haiti",4.000000000000000,0.000000000000000,104.279580057000004,0.000000000000000,0.000000000000000,1.000000000000000,2035980.0000000,230
ATCY,Astara Chay,AS,402,78992,196,94920,236,97180,242,104750,261,0,0,0.000000000000000,0,0,0,3,2,"Azerbaijan, Iran  (Islamic Republic of)",2.000000000000000,0.000000000000000,0.420997455064000,4.000000000000000,4.000000000000000,0.000000000000000,81205.6015625,202
ATRK,Atrak,AS,36421,1167794,32,1279879,35,1285633,35,1405797,39,0,0,0.000000000000000,110,6710,3560,2,2,"Iran  (Islamic Republic of), Turkmenistan",4.000000000000000,0.000000000000000,55.095004007599996,12.000000000000000,12.000000000000000,4.000000000000000,961608.0000000,26
AVLS,Aviles,SA,296,157,1,47,0,1544,5,1735,6,0,0,0.000000000000000,0,0,0,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,0.566033822265000,0.000000000000000,0.000000000000000,0.000000000000000,79.9479980,0
AWSH,Awash,AF,152265,23802075,156,27241405,179,26399133,173,29655158,195,4,0,1.000000000000000,170,1460,610,3,3,"Djibouti, Ethiopia, Somalia",0.000000000000000,0.000000000000000,3525.845846359999996,2.000000000000000,2.000000000000000,7.000000000000000,25931600.0000000,170
AYSN,Aysen,SA,12554,69638,6,80916,6,60835,5,63121,5,0,0,0.000000000000000,1170,20,10,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,208.885295944999996,0.000000000000000,0.000000000000000,0.000000000000000,102929.0000000,8
BAKR,Baker,SA,26886,17726,1,19961,1,11001,0,11220,0,0,0,0.000000000000000,420,20,10,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,2945.820326550000118,0.000000000000000,0.000000000000000,0.000000000000000,21589.0996094,1
BANN,Bann,EU,5746,457786,80,492301,86,468375,82,497609,87,0,0,0.000000000000000,480,320,60,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,438.626821493000023,1.000000000000000,1.000000000000000,3.000000000000000,622978.0000000,108
BATU,Bahr at Tubat,AF,7764,1855,0,949,0,4154,1,4433,1,0,0,0.000000000000000,null,null,null,N/A,2,"Libya, Egypt",0.000000000000000,0.000000000000000,40.260527574299999,0.000000000000000,0.000000000000000,0.000000000000000,1482.5899658,0
BDSO,Bidasoa,EU,720,39139,54,42699,59,59956,83,58354,81,0,0,0.000000000000000,810,70,10,2,2,"France, Spain",4.000000000000000,0.000000000000000,0.651487681859000,0.000000000000000,0.000000000000000,1.000000000000000,44059.3984375,61
BENT,Benito/Ntem,AF,44328,951671,21,1110336,25,1037542,23,1137152,26,0,1,2.000000000000000,1620,240,30,5,3,"Cameroon, Equatorial Guinea, Gabon",0.000000000000000,0.000000000000000,181.159046418000003,0.000000000000000,0.000000000000000,0.000000000000000,657918.0000000,15
BIAX,Bia,AF,11328,1162723,103,1290023,114,1134554,100,1202615,106,2,0,1.000000000000000,520,40,10,3,2,"Cote d'Ivoire, Ghana",0.000000000000000,0.000000000000000,542.515195348000020,0.000000000000000,0.000000000000000,2.000000000000000,845805.0000000,75
BLUN,Beilun,AS,840,84046,100,94358,112,152018,181,160707,191,0,0,0.000000000000000,1260,90,30,3,2,"China, Viet Nam",2.000000000000000,0.000000000000000,4.146472141220000,0.000000000000000,0.000000000000000,1.000000000000000,153054.0000000,182
BLZE,Belize,NA,8569,290597,34,320789,37,193902,23,218062,25,0,0,1.000000000000000,630,30,10,3,2,"Belize, Guatemala",0.000000000000000,0.000000000000000,263.513047656000026,0.000000000000000,0.000000000000000,1.000000000000000,254037.0000000,30
BNGU,Bangau,AS,130,311,2,318,2,603,5,605,5,0,0,0.000000000000000,0,0,0,3,2,"Brunei Darussalam, Malaysia",0.000000000000000,0.000000000000000,102.318061188000001,2.000000000000000,6.000000000000000,0.000000000000000,19.1140003,0
BNSA,Oued Bou Namoussa,AF,2763,355444,129,400016,145,380852,138,390795,141,2,0,0.000000000000000,null,null,null,N/A,2,"Algeria, Tunisia",0.000000000000000,0.000000000000000,89.583084167300001,0.000000000000000,0.000000000000000,3.000000000000000,376398.0000000,136
BRBY,Berbyelva,EU,1317,21830,17,21558,16,21264,16,21972,17,0,0,0.000000000000000,null,null,null,N/A,2,"Norway, Sweden",1.000000000000000,0.000000000000000,140.481441289999992,0.000000000000000,0.000000000000000,0.000000000000000,36421.6992188,28
BRKA,Baraka,AF,63770,2917101,46,3765008,59,3234864,51,3606192,57,1,0,0.000000000000000,50,330,160,3,2,"Eritrea, Sudan",0.000000000000000,0.000000000000000,5.170350495620000,0.000000000000000,0.000000000000000,2.000000000000000,1720790.0000000,27
BRMA,Barima,SA,923,210,0,934,1,5183,6,10492,11,0,0,0.000000000000000,650,0,0,3,2,"Guyana, Venezuela",0.000000000000000,0.000000000000000,515.718746531999955,0.000000000000000,0.000000000000000,0.000000000000000,335.6220093,0
BRTA,Barta,EU,2725,85488,31,81889,30,52605,19,50864,19,0,0,0.000000000000000,400,20,10,3,2,"Latvia, Lithuania",0.000000000000000,0.000000000000000,78.462322714600006,1.000000000000000,1.000000000000000,0.000000000000000,79560.2031250,29
BUZI,Buzi,AF,28490,1335316,47,1558258,55,1950331,68,2227706,78,3,0,2.000000000000000,330,100,50,3,2,"Mozambique, Zimbabwe",5.000000000000000,1.000000000000000,243.472157629999998,1.000000000000000,1.000000000000000,15.000000000000000,1699300.0000000,60
CAET,Caetani,NA,866,0,0,0,0,0,0,0,0,0,0,0.000000000000000,null,null,null,N/A,2,"Canada, United States of America",2.000000000000000,0.000000000000000,6.693624341410000,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000,0
CAXX,Ca/Song Lam,AS,27249,4063253,149,3748766,138,3135004,115,3103856,114,0,2,8.000000000000000,760,1600,460,5,2,"Lao People's Democratic Republic, Viet Nam",0.000000000000000,0.000000000000000,132.470729938999995,6.000000000000000,6.000000000000000,13.000000000000000,2482540.0000000,91
